gene	uniprotId	AND	OR
['HEL-S-87p', 'ALDOA', 'hCG_1811258']	['V9HWN7']	[]	['ALDOC', 'ALDOB']
[]	['P07954', 'B1ANK7']	['s']	[]
[]	['A0A0S2Z4C3']	[]	[]
['MORC2', 'KIAA0852', 'ZCWCC1']	['Q9Y6X9', 'B2RNB1', 'Q9UF28', 'Q9Y6V2']	['MORC2', 's']	[]
['ALDOB', 'ALDB']	['P05062', 'Q13741', 'Q13742', 'Q5T7D6']	['s']	['ALDOC', 'ALDOA']
['ALDOB', 'hCG_27655']	['A0A024R145']	[]	['ALDOC', 'ALDOA']
['DHX30', 'DDX30', 'KIAA0890']	['Q7L2E3', 'A8K5F1', 'O94965', 'Q7Z753', 'Q96CH4', 'Q9NUQ0']	['DDX28', 's']	[]
['RPIA', 'RPI']	['P49247', 'Q541P9', 'Q96BJ6']	[]	[]
['ALDOC', 'ALDC']	['P09972', 'B2R5R3', 'Q3SYL3', 'Q6FH94', 'Q6P0L5']	['s']	['ALDOB', 'ALDOA']
['ALDOC', 'hCG_31801']	['A0A024QZ64']	[]	['ALDOB', 'ALDOA']
['RAD54L2', 'ARIP4', 'KIAA0809']	['Q9Y4B4', 'Q8TB57', 'Q9BV54']	['large', 's']	[]
['ACSBG1', 'BGM', 'KIAA0631', 'LPD']	['Q96GR2', 'B2RB61', 'O75126', 'Q76N27', 'Q9HC26']	[]	['ACSBG2']
[]	['B3KNS7']	[]	['ACSBG2']
['SMCHD1', 'KIAA0650']	['A6NHR9', 'O75141', 'Q6AHX6', 'Q6ZTQ8', 'Q9H6Q2', 'Q9UG39']	['s']	[]
['SLC7A8', 'LAT2']	['Q9UHI5', 'B2R8Q4', 'B4DKT4', 'B4DTV6', 'D3DS46', 'F2Z2J4', 'Q86U05', 'Q9UKQ6', 'Q9UKQ7', 'Q9UKQ8', 'Q9Y445']	[]	[]
[]	['Q53EM9']	[]	[]
['ABCB9', 'KIAA1520']	['Q9NP78', 'B4E2J0', 'Q5W9G7', 'Q769F3', 'Q769F4', 'Q96AB1', 'Q9P208']	[]	[]
['ABCB9', 'hCG_33190']	['A0A024RBU1']	[]	[]
['MTREX', 'DOB1', 'KIAA0052', 'MTR4', 'SKIV2L2']	['P42285', 'Q2M386', 'Q6MZZ8', 'Q6P170', 'Q8N5R0', 'Q8TAG2']	['regulatory', 'MTREX', '1', 's', 'a']	[]
[]	['Q3MHC9']	[]	[]
['SLC16A8', 'MCT3']	['O95907', 'Q9UBE2']	[]	[]
[]	['O95786', 'A2RU81', 'Q5HYE1', 'Q5VYT1', 'Q9NT04']	['DDX58', '1', 's']	[]
[]	['Q9UPY5', 'A8K2U4']	[]	[]
['PANX1', 'MRS1', 'UNQ2529/PRO6028']	['Q96RD7', 'O75968', 'Q543A0', 'Q6UW26', 'Q96AM9', 'Q96L77', 'Q96RS5']	['s']	[]
['PANX1', 'PANX', 'hCG_1640673']	['A0A024R397']	[]	[]
[]	['Q8NEY4', 'Q96EL8']	['a', 'catalytic', 'd', 's']	['ATP6V1C1']
['SLC17A8', 'VGLUT3']	['Q8NDX2', 'B3KXZ6', 'B7ZKV4', 'Q17RQ8']	[]	['SLC17A6', 'SLC17A7']
['SLC25A30', 'KMCP1']	['Q5SVS4', 'B2RN96', 'B4DZK3', 'F5H8H8']	['s']	['SLC25A14']
[]	['B3KSR0']	[]	['SLC25A14']
[]	['B3KTE8']	[]	['SLC25A14']
['MCM9', 'C6orf61', 'MCMDC1']	['Q9NXL9', 'B4DR30', 'B9DI77', 'Q2KHJ0', 'Q8N5S5', 'Q9HCV5']	['MCM9', 'MCM6', 'MCM8', 'MCM5', 's', 'MCM7', 'a', 'MCM4', 'MCM3']	[]
[]	['O95336']	[]	[]
['HEL-S-304', 'PGLS', 'hCG_1778174']	['A0A0K0K1K7']	[]	[]
['BACE2', 'AEPLC', 'ALP56', 'ASP21', 'CDA13', 'UNQ418/PRO852']	['Q9Y5Z0', 'A8K7P1', 'Q5DIH8', 'Q8N2D4', 'Q9H2V8', 'Q9NZL1', 'Q9NZL2', 'Q9UJT6']	['s']	[]
['MPC2', 'BRP44']	['O95563', 'A8K261', 'Q3SXR6', 'Q6FIF3']	['a']	[]
['BRP44', 'hCG_2025634']	['A0A024R8Z5']	[]	[]
['MTHFD1L', 'FTHFSDC1']	['Q6UB35', 'Q2TBF3', 'Q8WVW0', 'Q96HG8', 'Q9H789', 'Q9UFU8']	[]	[]
['CHD5', 'KIAA0444']	['Q8TDI0', 'O75032', 'Q5TG89', 'Q7LGH2', 'Q9UFR9']	['a']	[]
['GART', 'PGFT', 'PRGS']	['P22102', 'A8K945', 'A8KA32', 'D3DSF3', 'D3DSF4', 'O14659', 'Q52M77']	[]	[]
['GATM', 'AGAT']	['P50440', 'B4DH99', 'B4DPI3', 'Q53EQ4']	['s']	[]
[]	['A0A140VK19']	[]	[]
[]	['Q9Y6K8', 'Q5U622', 'Q6FH66', 'Q7Z4T5', 'Q86YS0', 'Q8N464', 'Q96EC9']	['s']	[]
[]	['P35557', 'A4D2J2', 'A4D2J3', 'Q05810']	['s']	[]
['GCK', 'hCG_1745191', 'tcag7.801']	['Q53Y25']	[]	[]
['PPA2', 'HSPC124']	['Q9H2U2', 'B4DLP7', 'F8WDN9', 'I6L9B6', 'Q4W5E9', 'Q6PG51', 'Q8TBW0', 'Q96E55', 'Q9H0T0', 'Q9NX37', 'Q9P033', 'Q9ULX0']	[]	['PPA1']
['GLS2', 'GA']	['Q9UI32', 'B7Z8Q9', 'Q8IX91', 'Q9NYY2', 'Q9UI31']	['s']	[]
['VPS4A', 'VPS4']	['Q9UN37', 'B2RCB7', 'Q8TF07', 'Q9UI03', 'Q9Y582']	['O75351', 'VPS4B', 's', 'a', 'VPS4A']	['VPS4B']
['VPS4A', 'hCG_28199']	['A0A024R705']	[]	['VPS4B']
['GCLC', 'GLCL', 'GLCLC']	['P48506', 'Q14399']	['light', 'a', 'regulatory', 'GCLM']	[]
['GCLC', 'hCG_21942']	['Q14TF0']	['GCLM']	[]
['GCLM', 'GLCLR']	['P48507', 'A8K334', 'D3DT45', 'M5A959', 'Q6FHC1', 'Q9NPX9', 'Q9NU74']	['GCLC', 'heavy', 'catalytic', 'a']	[]
['TOR1B', 'DQ1', 'FKSG18']	['O14657']	['s', 'TOR1B']	['TOR1A']
['GLS', 'GLS1', 'KIAA0838']	['O94925', 'Q9UL05', 'Q9UL06', 'Q9UL07', 'Q9UN40']	['GLS', 's']	['GLS2']
['GLUL', 'GLNS']	['P15104', 'Q499Y9', 'Q5T9Z1', 'Q7Z3W4', 'Q8IZ17']	['s']	[]
['PIG59', 'GLUL', 'hCG_24393']	['A8YXX4', 'A0A024R956']	[]	[]
[]	['P17174', 'B2R6R7', 'B7Z7E9', 'Q5VW80']	[]	['GOT1L1']
[]	['A0A140VK69']	[]	['GOT1L1']
['GOT2', 'KYAT4']	['P00505', 'B4DJA6', 'E7ERW2', 'Q53FL3', 'Q9BWA3']	[]	[]
[]	['P06744', 'B4DG39', 'Q9BRD3', 'Q9BSK5', 'Q9UHE6']	[]	[]
['AQP11', 'AQPX1', 'PSEC0027']	['Q8NBQ7']	[]	[]
['SLC13A5', 'NACT']	['Q86YT5', 'B3KXR0', 'B7Z4P2', 'B7ZLB4', 'F8W7N2', 'Q6ZMG1']	[]	['SLC13A2', 'SLC13A3']
[]	['Q68D44']	[]	['SLC13A2', 'SLC13A3']
[]	['Q86VD7', 'D2T2J5', 'O14553', 'O43378']	[]	[]
['MGC26694', 'hCG_38564']	['A0A024R7K2']	[]	[]
['SLC9A9', 'NHE9', 'Nbla00118']	['Q8IVB4', 'A6NMQ9', 'Q3LIC2', 'Q5JPI6', 'Q5WA58', 'Q8NAB9']	[]	[]
['SLC9C1', 'SLC9A10']	['Q4G0N8', 'Q6ZRP4', 'Q7RTP2']	['s']	[]
['SLC36A3', 'PAT3', 'TRAMD2']	['Q495N2', 'Q495N3', 'Q6ZMU7', 'Q6ZRU4', 'Q7Z6B4']	[]	['SLC36A1', 'SLC36A2', 'SLC36A4']
[]	['P07203', 'E9PAS1', 'Q7Z5H1', 'Q9BW12']	['s']	[]
[]	['Q7L4Q3']	[]	[]
['SLC27A6', 'ACSVL2', 'FACVL2', 'FATP6']	['Q9Y2P4', 'Q6IAM5', 'Q7Z6E6', 'Q86YF6']	[]	[]
['ATAD2', 'L16', 'PRO2000']	['Q6PL18', 'Q14CR1', 'Q658P2', 'Q68CQ0', 'Q6PJV6', 'Q8N890', 'Q9UHS5']	['s']	[]
['ATAD2', 'hCG_2009021']	['A0A024R9G7']	[]	[]
['SLC25A4', 'ANT1']	['P12235', 'D3DP59']	['1', 's']	['SLC25A31', 'SLC25A5']
[]	['A0A0S2Z3H3']	[]	['SLC25A31', 'SLC25A5']
['DDX25', 'GRTH']	['Q9UHL0', 'B2R6Z0', 'Q5XVN2', 'Q86W81', 'Q8IYP1']	[]	[]
['SLC25A5', 'ANT2']	['P05141', 'B2RCV1', 'O43350']	['1', 's']	['SLC25A31', 'SLC25A4']
[]	['Q6NVC0']	[]	['SLC25A31', 'SLC25A4']
[]	['P48637', 'B2R697', 'B6F210', 'E1P5P9', 'Q4TTD9']	[]	[]
['HEL-S-64p', 'GSS', 'HEL-S-88n']	['V9HWJ1']	[]	[]
['GTF2F2', 'RAP30']	['P13984', 'A6NNS5', 'Q5W0H3']	['a', 'alpha', 's', 'GTF2F2']	[]
['GTF2F2', 'hCG_1811827']	['A0A024RDU9']	[]	[]
['GUK1', 'GMK', 'GMPK']	['Q16774', 'B1ANH1']	['s']	[]
['GUK1', 'hCG_1984660']	['Q6IBG8', 'A0A024R3S8']	[]	[]
[]	['Q9Y5B8', 'A8K3T6', 'A8MY09', 'B3KSW9', 'Q5TGZ4']	[]	['NME1-NME2', 'NME4', 'NME3', 'NME2', 'NME1', 'NME6']
['SLC25A24', 'APC1', 'MCSC1', 'SCAMC1']	['Q6NUK1', 'B7ZAI9', 'Q5T331', 'Q5T485', 'Q6PJJ9', 'Q705K4', 'Q9P129']	[]	['SLC25A23', 'SLC25A25']
['PSAT1', 'PSA']	['Q9Y617', 'Q5T7G5', 'Q5T7G6', 'Q96AW2', 'Q9BQ12']	[]	[]
['PSAT1', 'hCG_1984423']	['A0A024R222']	[]	[]
['SLC2A8', 'GLUT8', 'GLUTX1']	['Q9NY64', 'Q8WUZ9', 'Q9NSC4']	['s']	[]
['SLC2A8', 'hCG_28276']	['Q8WZ05']	[]	[]
['SLC2A8', 'hCG_28276']	['A0A024R871']	[]	[]
[]	['P19367', 'E9PCK0', 'O43443', 'O43444', 'O75574', 'Q5VTC3', 'Q96HC8', 'Q9NNZ4', 'Q9NNZ5']	['PFKM', 's']	['HKDC1', 'HK3', 'HK2']
[]	['Q59FD4']	[]	['HKDC1', 'HK3', 'HK2']
[]	['B3KXY9']	[]	['HKDC1', 'HK3', 'HK2']
[]	['A8K7J7']	[]	['HKDC1', 'HK3', 'HK2']
[]	['P52789', 'D6W5J2', 'Q8WU87', 'Q9UN82']	['a', 's']	['HKDC1', 'HK3', 'HK1']
['ACACA', 'ACAC', 'ACC1', 'ACCA']	['Q13085', 'B2RP68', 'B2ZZ90', 'Q6KEV6', 'Q6XDA8', 'Q7Z2G8', 'Q7Z561', 'Q7Z563', 'Q7Z564', 'Q86WB2', 'Q86WB3']	['s']	[]
[]	['P52790', 'Q8N1E7']	[]	['HKDC1', 'HK2', 'HK1']
['HK3', 'hCG_41583']	['A0A024R7R1']	[]	['HKDC1', 'HK2', 'HK1']
['HLA-A', 'HLAA']	['P04439', 'B1PKZ3', 'O02939', 'O02954', 'O02955', 'O02963', 'O19509', 'O19546', 'O19598', 'O19605', 'O19606', 'O19619', 'O19647', 'O19673', 'O19687', 'O19695', 'O19756', 'O19794', 'O19795', 'O43906', 'O43907', 'O46874', 'O62921', 'O62924', 'O77937', 'O77938', 'O77964', 'O78073', 'O78171', 'O98009', 'O98010', 'O98011', 'O98137', 'P01891', 'P01892', 'P05534', 'P06338', 'P10313', 'P10314', 'P10315', 'P10316', 'P13746', 'P16188', 'P16189', 'P16190', 'P18462', 'P30443', 'P30444', 'P30445', 'P30446', 'P30447', 'P30448', 'P30449', 'P30450', 'P30451', 'P30452', 'P30453', 'P30454', 'P30455', 'P30456', 'P30457', 'P30458', 'P30459', 'P30512', 'P30514', 'P79505', 'P79562', 'P79563', 'Q09160', 'Q29680', 'Q29747', 'Q29835', 'Q29837', 'Q29838', 'Q29899', 'Q29908', 'Q29909', 'Q29910', 'Q30208', 'Q31623', 'Q5S3G1', 'Q65A82', 'Q8MHM1', 'Q8MHN9', 'Q95352', 'Q95355', 'Q95362', 'Q95377', 'Q95380', 'Q95IZ5', 'Q9BCN0', 'Q9BD15', 'Q9BD19', 'Q9GJE6', 'Q9GJE7', 'Q9GJE8', 'Q9MW42', 'Q9MY89', 'Q9MYA3', 'Q9MYA5', 'Q9MYC4', 'Q9MYE6', 'Q9MYE9', 'Q9MYG4', 'Q9MYG5', 'Q9MYI5', 'Q9TP25', 'Q9TPQ3', 'Q9TPR8', 'Q9TPX8', 'Q9TPX9', 'Q9TPY0', 'Q9TQ24', 'Q9TQE8', 'Q9TQE9', 'Q9TQF1', 'Q9TQF5', 'Q9TQF8', 'Q9TQF9', 'Q9TQG0', 'Q9TQG5', 'Q9TQG7', 'Q9TQH5', 'Q9TQI3', 'Q9TQK5', 'Q9TQM6', 'Q9TQN5', 'Q9TQP5', 'Q9TQP6', 'Q9TQP7', 'Q9UIN1', 'Q9UIN2', 'Q9UIP7', 'Q9UQU3', 'Q9UQU6', 'Q9UQU7']	['TAPBP', 'B2M', 's', '1']	[]
['HLA-A', 'HLA', 'HLA-A*0101']	['Q5SUL5']	[]	[]
[]	['P01909', 'O19630', 'O19706', 'P01907', 'P01908', 'P04225', 'P04226', 'P05536', 'P79553', 'Q06751', 'Q29876', 'Q29994', 'Q2Q6Y6', 'Q2Q6Y7', 'Q2Q6Y8', 'Q2WCM3', 'Q30064', 'Q30067', 'Q30068', 'Q30070', 'Q30071', 'Q30072', 'Q30073', 'Q30086', 'Q30101', 'Q5Y7D5', 'Q5Y7F5', 'Q6ICU6', 'Q6PR46', 'Q6QDB1', 'Q860W2', 'Q860W4', 'Q9BD37', 'Q9TPM3', 'Q9UM31']	['3', 'beta', 'antigen', 'a', 'invariant', 's', 'gamma']	['HLA-DQB1']
[]	['A0A173ADG5']	[]	['HLA-DQB1']
[]	['Q8MH44']	[]	['HLA-DQB1']
['HLA-DQB1', 'HLA-DQB']	['P01920', 'A1KR27', 'A2RPH3', 'A4Q9R4', 'A4USG2', 'A4USG5', 'A6N8I7', 'A9YQA0', 'B0S7Y7', 'B1A0K6', 'B1GXI3', 'B3VLT3', 'B5BLN7', 'B7VU69', 'C0MQ34', 'C0MQ35', 'C8ZL52', 'C8ZLJ8', 'C8ZLJ9', 'C9DRQ3', 'O19708', 'O19713', 'O19724', 'O62861', 'O78046', 'O78221', 'O78223', 'O98034', 'O98201', 'P01917', 'P01918', 'P01919', 'P03992', 'P05537', 'P79482', 'P79526', 'P79544', 'P79551', 'Q08GC8', 'Q09035', 'Q0E4V9', 'Q1M312', 'Q29731', 'Q29877', 'Q29884', 'Q29915', 'Q29966', 'Q2P9N3', 'Q2QK85', 'Q30061', 'Q30075', 'Q30076', 'Q30080', 'Q30081', 'Q30082', 'Q30083', 'Q30084', 'Q30089', 'Q30095', 'Q31633', 'Q38I47', 'Q45UE3', 'Q4QZB5', 'Q53I44', 'Q564J6', 'Q5G841', 'Q5ISH1', 'Q5ISH3', 'Q5W1E1', 'Q5Y7G8', 'Q643R4', 'Q6B9X1', 'Q70VH8', 'Q7YP69', 'Q8HWH0', 'Q8MH58', 'Q8SNB4', 'Q8SND1', 'Q8SP70', 'Q8WMA3', 'Q9BD17', 'Q9MYH2', 'Q9TPA9', 'Q9XRY6', 'Q9XRY7', 'Q9XRZ2']	['3', 'beta', 'antigen', 'a', 'invariant', 's', 'gamma', 'CD74', 'alpha']	['HLA-DQA1']
[]	['Q5Y7D3', 'U3Q031']	[]	['HLA-DQA1']
['HMGCS1', 'HMGCS']	['Q01581', 'B2RDL8']	[]	[]
['HMGCS1', 'hCG_36936']	['A0A024R059']	[]	[]
['SLC29A2', 'DER12', 'ENT2', 'HNP36']	['Q14542', 'B3KPY7', 'O43530', 'Q52M84', 'Q96R00', 'Q9UPE0']	[]	['SLC29A3', 'SLC29A1']
['ACACB', 'ACC2', 'ACCB']	['O00763', 'A6NK36', 'Q16852', 'Q1HEC1', 'Q6KE87', 'Q6KE89', 'Q6TY48']	['a', 's']	[]
['HSPA5', 'GRP78']	['P11021', 'B0QZ61', 'Q2EF78', 'Q9NPF1', 'Q9UK02']	['a', 'HSPA5', 'large', 's']	[]
[]	['V9HWB4']	[]	[]
['HTN3', 'HIS2']	['P15516', 'Q16243', 'Q502Z1']	[]	[]
[]	['Q7Z4L0', 'Q495K7']	['3', '2', 'COX5B', 'MT-CO3', 'COX5A', 'a', 'MT-CO2', 'COX7A2', 'COX6A2', 'COX7A1', 'COX8A', 'COX4I2', '1', 'COX4I1', 'COX7C', 's', 'MT-CO1', 'catalytic', 'COX6B2']	['COX8A']
[]	['Q13907', 'B4E155', 'Q32Q13', 'Q53GQ6', 'Q86U81', 'Q8WUX8', 'Q96IZ4', 'Q9BQ74']	[]	['IDI2']
[]	['O94778', 'Q8IUU3', 'Q9UIA4']	[]	[]
['GJC3', 'GJE1']	['Q8NFK1', 'A4D296', 'Q86XI9']	['a']	[]
['IGHMBP2', 'SMBP2', 'SMUBP2']	['P38935', 'A0PJD2', 'Q00443', 'Q14177']	['RUVBL2', 'large', 's', 'RUVBL1']	[]
[]	['P41181', 'Q9UD68']	[]	[]
[]	['P55087', 'P78564']	['AQP4', 'a']	[]
['AQP4', 'hCG_37174']	['F1DSG4']	[]	[]
[]	['P55064', 'Q6FGW8']	['s']	[]
['AQP6', 'AQP2L']	['Q13520']	[]	[]
['AQP7', 'AQP7L', 'AQP9']	['O14520', 'Q08E94', 'Q5T5L9', 'Q8NHM3']	['s']	[]
['AQP9', 'SSC1']	['O43315', 'Q9NP32']	[]	[]
['ASPG', 'C14orf76']	['Q86U10', 'B9EGQ2', 'Q8IV80']	[]	[]
['AQP12A', 'AQP12', 'AQPX2']	['Q8IXF9']	[]	[]
['SLC27A1', 'ACSVL5', 'FATP1']	['Q6PCB7', 'A6NIH2', 'B7Z662']	['s']	['SLC27A4']
[]	['Q8N1Q1']	[]	['CA9', 'CA7', 'CA6', 'CA5A', 'CA3', 'CA1', 'CA5B']
['ACAT1', 'ACAT', 'MAT']	['P24752', 'B2R6H1', 'G3XAB4', 'Q96FG8']	[]	['ACAT2']
[]	['A0A140VJX1']	[]	['ACAT2']
[]	['P05089', 'A6NEA0', 'Q5JWT5', 'Q5JWT6', 'Q8TE72', 'Q9BS50']	['s']	['ARG2']
[]	['P78540', 'B2R690', 'Q6FHY8']	[]	['ARG1']
['ARG2', 'hCG_20767']	['A0A024R6A0']	[]	['ARG1']
['SLC22A25', 'UST6']	['Q6T423', 'A4FU27']	[]	['SLC22A10']
['SLC16A12', 'MCT12']	['Q6ZSM3', 'E9PSF9', 'Q5M9M9', 'Q5T7J2', 'Q6ZV76']	['2', 's']	[]
['ENO4', 'C10orf134']	['A6NNW6', 'A0A087WZY6', 'A6NI74', 'B8ZZN9', 'J3KNX1']	['ENO1', 's']	['ENO3', 'ENO2', 'ENO1']
['SLC22A10', 'OAT5']	['Q63ZE4', 'Q68CJ0']	[]	['SLC22A25']
['ACAT2', 'ACTL']	['Q9BWD1', 'B7Z233', 'E1P5B1', 'Q16146', 'Q5TCL7', 'Q8TDM4']	[]	['ACAT1']
['MCM2', 'BM28', 'CCNL1', 'CDCL1', 'KIAA0030']	['P49736', 'Q14577', 'Q15023', 'Q8N2V1', 'Q969W7', 'Q96AE1', 'Q9BRM7']	['Q14566', 'MCM6', 'P25205', 'MCM2', 'P33992', 'MCM5', 'P33993', 's', 'MCM7', 'a', 'MCM4', 'MCM3', 'P33991']	[]
[]	['P25205', 'B4DWW4', 'Q92660', 'Q9BTR3', 'Q9NUE7']	['Q14566', 'MCM6', 'P49736', 'MCM2', 'P33992', 'MCM5', 'P33993', 's', 'MCM7', 'a', 'MCM4', 'MCM3', 'P33991']	[]
[]	['A0A0S2Z4T1']	[]	[]
['MCM4', 'CDC21']	['P33991', 'Q8NEH1', 'Q99658']	['Q14566', 'MCM6', 'P25205', 'P49736', 'MCM2', 'P33992', 'MCM5', 'P33993', 's', 'MCM7', 'a', 'MCM4', 'MCM3']	[]
[]	['B4DLA6']	[]	[]
['MCM5', 'CDC46']	['P33992', 'O60785', 'Q14578', 'Q9BTJ4', 'Q9BWL8']	['Q14566', 'MCM6', 'P25205', 'P49736', 'MCM2', 'MCM5', 'P33993', 's', 'MCM7', 'a', 'MCM4', 'MCM3', 'P33991']	[]
['MCM5', 'hCG_41525']	['B1AHB0']	[]	[]
[]	['Q14566', 'B2R6H2', 'Q13504', 'Q99859']	['MCM6', 'P25205', 'P49736', 'MCM2', 'P33992', 'MCM5', 'P33993', 's', 'MCM7', 'a', 'MCM4', 'MCM3', 'P33991']	[]
['MCM7', 'CDC47', 'MCM2']	['P33993', 'A4D2A1', 'A4D2A2', 'E9PGN9', 'Q15076', 'Q96D34', 'Q96GL1']	['Q14566', 'MCM6', 'P25205', 'P49736', 'MCM2', 'P33992', 'MCM5', 's', 'MCM7', 'a', 'MCM4', 'MCM3', 'P33991']	[]
[]	['A0A0S2Z4A5']	[]	[]
[]	['C6EMX8']	[]	[]
['MOV10', 'KIAA1631']	['Q9HCE1', 'Q5JR03', 'Q8TEF0', 'Q9BSY3', 'Q9BUJ9']	['antigen', 's']	[]
[]	['P04424', 'E7EMI0', 'E9PE48', 'Q6LDS5', 'Q96HS2']	[]	[]
['ASL', 'hCG_18702']	['A0A024RDL8']	[]	[]
['ABCC1', 'MRP', 'MRP1']	['P33527', 'A3RJX2', 'C9JPJ4', 'O14819', 'O43333', 'P78419', 'Q59GI9', 'Q9UQ97', 'Q9UQ99', 'Q9UQA0']	[]	[]
['ASNS', 'TS11']	['P08243', 'A4D1I8', 'B4DXZ1', 'B7ZAA9', 'D6W5R3', 'E9PCI3', 'E9PCX6', 'P08184', 'Q15666', 'Q549T9', 'Q96HD0']	[]	[]
[]	['Q9H903', 'Q6P079', 'Q8N560']	[]	['MTHFD2']
['PGAM4', 'PGAM3']	['Q8N0Y7', 'Q5JPN2', 'Q8NI24', 'Q8NI25', 'Q8NI26']	[]	['PGAM2', 'PGAM1']
['ASS1', 'ASS']	['P00966', 'Q6LDL2', 'Q86UZ0', 'Q96GT4']	['a', 's']	[]
['ASS', 'ASS1', 'hCG_31245']	['Q5T6L4']	[]	[]
['MT-CO1', 'COI', 'COXI', 'MTCO1']	['P00395', 'Q34770']	['COX5B', 'P15954', 's', 'P10606', 'catalytic', 'P00403', '3', '2', 'MT-CO3', 'MT-CO1', 'P14406', 'MT-CO2', 'COX8A', 'P13073', 'COX4I1', 'P10176', 'P00414', 'COX5A', 'COX7A2', 'P20674', 'COX7C', 'a']	[]
['COX1', 'CO1', 'COI', 'MTCO1']	['U5YWV7']	[]	[]
['COX1', 'COI', 'MTCO1', 'HS5781_0016', 'HS5782_0016']	['A0A1X7RBG2']	[]	[]
['MT-CO2', 'COII', 'COX2', 'COXII', 'MTCO2']	['P00403', 'Q37526']	['COX5B', 'P00395', 'P15954', 's', 'P10606', 'catalytic', '3', 'MT-CO3', '1', 'MT-CO1', 'COX16', 'P14406', 'MT-CO2', 'COX8A', 'P13073', 'COX4I1', 'P10176', 'P00414', 'COX5A', 'COX7A2', 'P20674', 'COX7C', 'a']	[]
['COX2', 'CO2', 'COII', 'MTCO2']	['U5Z487', 'A0A1B0VYS2']	[]	[]
['COX2', 'COII', 'MTCO2', 'HS5781_0019', 'HS5782_0019']	['A0A1X7RBF7']	[]	[]
['MT-CO3', 'COIII', 'COXIII', 'MTCO3']	['P00414', 'Q14Y83']	['COX5B', 'P00395', 'P15954', 's', 'P10606', 'catalytic', 'P00403', '2', 'MT-CO3', '1', 'MT-CO1', 'P14406', 'MT-CO2', 'COX8A', 'P13073', 'COX4I1', 'P10176', 'COX5A', 'COX7A2', 'P20674', 'COX7C', 'a']	[]
['COX3', 'CO3', 'COIII', 'DKFZp686F15101', 'MTCO3']	['Q7GIM7']	[]	[]
['COX3', 'COIII', 'MTCO3', 'HS5781_0023', 'HS5782_0023']	['A0A1X7RBF0']	[]	[]
['MTHFD1', 'MTHFC', 'MTHFD']	['P11586', 'B2R5Y2', 'G3V2B8', 'Q86VC9', 'Q9BVP5']	[]	[]
[]	['A0A384N5Y3']	[]	[]
['MVD', 'MPD']	['P53602', 'Q53Y65']	[]	[]
[]	['Q03426']	[]	[]
['MVK', 'hCG_40321']	['B2RDU6']	[]	[]
