Rxn	PutativeIdentifiers
Ex_biomass	[]
Ex_glucose	[]
Ex_lactateL	[]
Ex_O2	[]
Ex_glutamine	[]
Ex_Palmitate	[]
Ex_glutamate	[]
Ex_arginines	[]
Ex_folate	[]
Ex_urea	[]
Ex_NH3	[]
Ex_citratec	[]
Ex_Carnitine	[]
Ex_AKG	[]
Ex_proline	[]
Ex_alanine	[]
Ex_aspartate	[]
Ex_asparagine	[]
Ex_serine	[]
Ex_glycine	[]
Ex_cystine	[]
Ex_SC_mercaptopyruvatec	[]
Ex_SC_H2O	[]
Ex_SC_Pi	[]
Ex_SC_H	[]
DM_Glucose	[]
DM_LactateL	[]
DM_Glutamine	[]
DM_Palmitate	[]
DM_Carnitine	[]
DM_Glutamate	[]
DM_Arginines	[]
DM_Urea	[]
DM_NH3	[]
DM_Citrate	[]
DM_Folate	[]
DM_AKG	[]
DM_Proline	[]
DM_Alanine	[]
DM_Aspartate	[]
DM_Asparagine	[]
DM_Serine	[]
DM_Glycine	[]
DM_putrescine	[]
DM_CO2c	[]
DM_10formylTHFm	[]
DM_10formylTHFc	[]
DM_GSSG	[]
DM_guanidinoacetatec	[]
Glucose_DM_COOP	[]
LactateL_DM_COOP	[]
Oxygen_DM_COOP	[]
Glutamine_DM_COOP	[]
Palmitate_DM_COOP	[]
Palmitate_UP_COOP	[]
Glutamate_DM_COOP	[]
Arginine_DM_COOP	[]
Folate_DM_COOP	[]
Urea_DM_COOP	[]
NH3_DM_COOP	[]
Citrate_DM_COOP	[]
Carnitine_DM_COOP	[]
AKG_DM_COOP	[]
Proline_DM_COOP	[]
Alanine_DM_COOP	[]
Aspartate_DM_COOP	[]
Asparagine_DM_COOP	[]
Serine_DM_COOP	[]
Glycine_DM_COOP	[]
TranspCystineGlu	[]
TranspCystineSer	[]
CystineReductaseNADPH	['|CYSTINE-REDUCTASE-NADH-RXN|', 'R00892', '20598', '20597', '20599', '20600']
GCK_HKDC1_HK1_ADPGK_HK2_HK3	['22740', '|RXN-1685|', '36495', '22742', '|HEXOKINASE-RXN|', '17827', '36497', '36496', 'R00299', '36498', '22741', '17828', 'R01600', '17825', 'R02848', '22743', '17826', '|GLUCOKIN-RXN|', 'R01786']
G6PPer	['|RXN-15312|', '44905', 'R01788', '44904', '44907', '|RXN66-526|', '16692', '16689', '16691', 'R00303', '44906', '16690']
GPI	['R03321', 'R00771', '11816', '11819', '|PGLUCISOM-RXN|', '11818', '11817', 'R02740']
PFKP_PFKL_PFKM_1	['R00756', 'R04779', '16112', '16110', '|6PFRUCTPHOS-RXN|', '16111', '16109']
FBP	['11065', '11066', 'R00762', 'R04780', '11067', '|F16BDEPHOS-RXN|', '11064']
ALDOC_ALDOB_ALDOA_2	['14730', 'R01068', '14729', 'R01070', '14731', '14732', '|F16ALDOLASE-RXN|']
TPI1_TPI1P2	['18588', '18586', '18587', 'R01015', '|TRIOSEPISOMERIZATION-RXN|', '18585']
GAPDHS_GAPDH_GAPDHP29	[]
CRISP3_PGK1_MIA3_PGK2	[]
PGAM2_PGAM1_BPGM_PGAM4_1	['15901', '15902', '15904', '|RXN-15513|', '|3PGAREARR-RXN|', 'R01518', '15903']
ENO1_ENO3_ENO2	['R00658', '10167', '|2PGADEHYDRAT-RXN|', '10165', '10164', '10166']
PKM_TMEM54_PKLR_HCN3	['56963', 56963, '18159', '56961', 'R02320', 'R00200', '18157', '18158', '56960', '18160', '56962', '|PEPDEPHOS-RXN|']
PC	['|PYRUVATE-CARBOXYLASE-RXN|', '20847', '20845', '20844', 'R00344', '20846']
PEPCK	['10391', '|4.1.1.32-RXN|', '10388', '10390', '10389', 'R00431']
LDH	['R00703', '23446', '23445', '23444', '23447', '|L-LACTATE-DEHYDROGENASE-RXN|']
G6PD	['38218', 'R02736', 'R00835', '38217', '38215', 'R10907', 'R10520', '|GLU6PDEHYDROG-RXN|', '15844', '|RXN-16652|', '15842', '38216', '15843', '|RXN-14819|', '15841']
H6PD_PGLS	['12559', '12556', 'R02035', '12557', '|6PGLUCONOLACT-RXN|', '12558']
PGD	['10116', 'R01528', 'R10221', '33024', '10118', '33026', '|RXN-3341|', '10117', '|RXN-9952|', '33025', '33023', '10119']
RPIA_LOC101060545	['|RIB5PISOM-RXN|', '14658', '14659', '14660', 'R01056', '14657']
PRPS2_PRPS1_PRPS1L1	['R01049', '15609', '|PRPPSYN-RXN|', '15611', '15612', '15610']
TKTL1_TKTL2_TKT_1	['R01830', '|2TRANSKETO-RXN|', '27627', 'R01067', '27626', '27629', '27628']
ALDOC_ALDOB_ALDOA_1	['30168', '30169', '|SEDOBISALDOL-RXN|', '30167', 'R01829', '30170']
RPE_LOC729020	['13679', '13680', '13678', '|RIBULP3EPIM-RXN|', 'R01529', '13677']
TKTL1_TKTL2_TKT_2	['R01641', '10508', '|1TRANSKETO-RXN|', '10509', '10510', '10511']
TALDO1	['R01827', '17054', '|TRANSALDOL-RXN|', '17053', 'R08575', '17055', '17056']
PFKP_PFKL_PFKM_3	['31446', 'R01843', '31445', '|RXN0-6541|', '31444', '31443']
DLD_PDHX_PDHA1_DLAT_PDHA2_PDHB	['28045', '28042', '28043', 'R00209', '28044', '|PYRUVDEH-RXN|']
CS	['|CITSYN-RXN|', '16847', '16845', '16846', '|RXN-14905|', '16848', 'R00351']
ACO2_ACO1_1	['|RXN-14047|', '10336', '10337', '10338', '10339', 'R01324']
IDH3	['R00709', '23635', '23634', '|RXN-7969|', '23632', '|ISOCITRATE-DEHYDROGENASE-NAD+-RXN|', '23633']
IDH2	['19631', '19632', 'R00709', '23635', '23634', '|RXN-7969|', 'R00267', '19630', '|ISOCITDEH-RXN|', '23632', '19629', '|ISOCITRATE-DEHYDROGENASE-NAD+-RXN|', '23633']
DLSTP1_DLD_OGDH_PDHX_DLST_DHTKD1_OGDHL	['R08549', '27788', '27786', '27787', '|2OXOGLUTARATEDEH-RXN|', '27789']
KANK1_SUCLA2_SUCLG1_SUCLG2_1	['R00432', '22123', '|SUCCINATE--COA-LIGASE-GDP-FORMING-RXN|', '22121', '22122', '22120']
SDHA_SDHB_SDHC_SDHD	['R00408', 30346, '30343', '30345', '30344', '30346']
FH_1	['12461', '12463', 'R01082', '12460', '12462', '|FUMHYDR-RXN|']
MDH2	['21433', 'R00342', '|MALATE-DEH-RXN|', '21434', '21435', '21432']
ME2_ME3_1	['|1.1.1.39-RXN|', '12656', '12655', 'R00214', '|RXN-19748|', '12653', '12654', '|MALIC-NAD-RXN|']
ME2_ME3_2	['18254', '|1.1.1.39-RXN|', '12656', '18253', '|MALIC-NADP-RXN|', 'R00214', '12655', '12653', '18255', '12654', '18256', '|MALIC-NAD-RXN|', 'R00216']
ACLY	['21160', '|ATP-CITRATE-PRO-S--LYASE-RXN|', 'R00352', '21162', '21161', '21163']
FH_2	['12461', '12463', 'R01082', '12460', '12462', '|FUMHYDR-RXN|']
MDH1_MDH1B	['21433', 'R00342', '|MALATE-DEH-RXN|', '21434', '21435', '21432']
ACO1_IREB2	['|RXN-14047|', '10336', '10337', '10338', '10339', 'R01324']
IDH1	['19631', '19632', 'R00709', '23635', '23634', '|RXN-7969|', 'R00267', '19630', '|ISOCITDEH-RXN|', '23632', '19629', '|ISOCITRATE-DEHYDROGENASE-NAD+-RXN|', '23633']
LHPP_PPA2_PRUNE_EIF4A2_NAV2_PPA1_1	['24579', '24576', '24578', '24577', 'R00004', '|INORGPYROPHOSPHAT-RXN|']
Complex1	[]
Complex1ROS	[]
Complex2	[]
Complex3	[]
Complex4	[]
ATPsynthase	[]
GCL	['13287', '13285', 'R00894', '13288', '13286', '|GLUTCYSLIG-RXN|']
GSS	['13557', '|GLUTATHIONE-SYN-RXN|', '13559', '13558', 'R00497', '13560']
SOD2	['|SUPEROX-DISMUT-RXN|', 'R00275', '20696', '20698', '20697', '20699']
GPmit	['16834', 'R00274', '16836', '16835', '|GLUTATHIONE-PEROXIDASE-RXN|', '16833']
mGSRnadh	['R00094']
mGSRnadph	['11741', '11742', 'R00115', '11743', 'R00094', '11740', '|GLUTATHIONE-REDUCT-NADPH-RXN|']
TrasportGSH	[]
MPC1_MPC2_MPC1L	[]
SLC25A3	[]
SLC25A5_SLC25A4_SLC25A6	[]
Transport_CO2	[]
TransportOxygen	[]
ALDH3B1_ALDH3A1_ALDH3B2_ALDH1A3	[]
NME2_NME3_NME4_NME5_NME2P1_NME7_NME6_NME1_NME2_1	['18116', '27687', '44642', '18113', '27688', '18114', '44643', '27689', '18115', 'R00331', '|NUCLEOSIDE-DIP-KIN-RXN|', '27686', '44641', '44640', '|GDPKIN-RXN|', 'R00330']
NME2_NME3_NME4_NME5_NME2P1_NME7_NME6_NME1_NME2_2	['18116', '27687', '44642', '18113', '27688', '18114', '44643', '27689', '18115', 'R00331', '|NUCLEOSIDE-DIP-KIN-RXN|', '27686', '44641', '44640', '|GDPKIN-RXN|', 'R00330']
AQP8	[]
HIBCH	[]
SLC25A10_4	[]
CA12_CA2_CA9_CA14_CA1_CA3_CA4_CA7_CA13	['|CARBODEHYDRAT-RXN|', '|RXN0-5224|', '10751', '10748', 'R10092', '10750', '10749', 'R00132']
CA5B_CA5A	['|CARBODEHYDRAT-RXN|', '|RXN0-5224|', '10751', '10748', 'R10092', '10750', '10749', 'R00132']
TransportGln	[]
GLS2	['15891', 'R00256', '|GLUTAMIN-RXN|', '15890', '15892', '15889']
TransportGlu	[]
GLS	['15891', 'R00256', '|GLUTAMIN-RXN|', '15890', '15892', '15889']
GS	['16169', '16172', '|GLUTAMINESYN-RXN|', 'R00253', '16171', '16170']
PPAT	['14905', '14907', '|PRPPAMIDOTRANS-RXN|', '14906', '14908', 'R01072']
ADSS_ADSSL1	['15755', '15756', '|ADENYLOSUCCINATE-SYNTHASE-RXN|', 'R01135', '15753', '15754']
TNRC6B_ADSL_1	['16855', '16854', '|AMPSYN-RXN|', '16853', '16856', 'R01083']
GART_1	['17456', '17455', '17454', 'R04144', '17453', '|GLYRIBONUCSYN-RXN|']
GART_2	['15056', '15053', '|GART-RXN|', '15054', '15055', 'R04325']
PFAS	['17130', '|FGAMSYN-RXN|', '17129', '17132', '17131', 'R04463']
OGDH_GART_OGDHL	['23033', '23034', '23032', 'R04208', '|AIRS-RXN|', '23035']
PAICS_1	['10793', '|AIRCARBOXY-RXN|', 'R04209', '10792', '10794', '10795']
PAICS_2	['22631', '22630', '|SAICARSYN-RXN|', 'R04591', '22629', '22628']
TNRC6B_ADSL_2	['R04559', '23921', '23920', '23923', '|AICARSYN-RXN|', '23922']
ATIC_1	[]
ATIC_2	[]
GMPR2_GMPR	['17188', 'R01134', '17187', '17186', '17185', '|GMP-REDUCT-RXN|']
GUK1_1	['24038', '24037', '20782', '|NUCLEOSIDE-PHOSPHATE-KINASE-RXN|', 'R00332', '20781', 'R00334', '24036', '|GUANYL-KIN-RXN|', '20783', '24039', '20780']
RRM2B_TXN_RRM1_RRM2B_1	[]
GUK1_2	['24038', '24037', '|NUCLEOSIDE-PHOSPHATE-KINASE-RXN|', '|GMKALT-RXN|', '12697', 'R00334', '12698', '24036', '24039', '11216', '11218', '11219', 'R02090', '11217', '12699', '|DEOXYNUCLEOSIDE-PHOSPHATE-KINASE-RXN|', '12700', 'R04267']
AK2_TAF9_AK1_AK7_AK3_AK5_AKD1_AK4_AK8_1	['12975', '12973', '12974', 'R00127', '|ADENYL-KIN-RXN|', '12976']
RRM2B_TXN_RRM1_RRM2B_2	[]
AK	['23101', '23102', '24038', '24037', '|NUCLEOSIDE-PHOSPHATE-KINASE-RXN|', 'R00334', '|DEOXYADENYLATE-KINASE-RXN|', '24036', '24039', '11216', '11218', '11219', 'R01547', '11217', '23100', '|DEOXYNUCLEOSIDE-PHOSPHATE-KINASE-RXN|', '23103', 'R04267']
IMPDH2	['11711', '|IMP-DEHYDROG-RXN|', '11710', 'R01130', '11708', '11709']
GMPS	['18304', '18302', 'R01230', '18301', '|GMP-SYN-NH3-RXN|', '18303']
CAD_1	['18636', '18634', '18633', 'R00575', '18635', '|CARBPSYN-RXN|']
CAD_2	['|ASPCARBTRANS-RXN|', '20016', '20013', '20015', 'R01397', '20014']
CAD_3	['24297', 'R01993', '24298', '24296', '|DIHYDROOROT-RXN|', '24299']
DHODH	['30189', '|DIHYDROOROTATE-DEHYDROGENASE-RXN|', '30190', '28689', '28687', '28688', '18075', '18076', '28690', '18073', '30187', '30188', '18074', 'R01868']
UMPS_1	['|OROPRIBTRANS-RXN|', 'R01870', '10380', '10382', '10383', '10381']
UMPS_2	['11598', '11597', '|OROTPDECARB-RXN|', '11599', '11596', 'R00965']
CMPK2_CMPK1_1	['24402', '|RXN-12002|', '24038', '24037', '24400', '|NUCLEOSIDE-PHOSPHATE-KINASE-RXN|', '|2.7.4.22-RXN|', '24403', 'R00334', '24036', '24039', 'R00158', '24401']
RRM2B_TXN_RRM1_RRM2_1	[]
TYMS	['12104', '12105', '12106', 'R02101', '|THYMIDYLATESYN-RXN|', '12107']
CMPK1_DTYMK	['|RXN-14122|', '24038', '24037', '|NUCLEOSIDE-PHOSPHATE-KINASE-RXN|', '30656', '30657', 'R00334', '24036', '11219', '24039', '11216', '11218', '11217', 'R02098', '30655', '|DEOXYNUCLEOSIDE-PHOSPHATE-KINASE-RXN|', '30658', 'R04267']
NME2_NME3_NME4_NME5_NME2P1_NME7_NME6_NME1_NME2_3	['25098', '18116', '25101', '44642', 'R00156', '18114', '44643', '25100', '18115', '|UDPKIN-RXN|', 'R00331', '|NUCLEOSIDE-DIP-KIN-RXN|', '44641', '44640', '25099', '18113']
NME2_NME3_NME4_NME5_NME2P1_NME7_NME6_NME1_NME2_4	['18116', 'R00570', '44642', '25239', '25237', '18114', '25240', '44643', '18115', '25238', '|NUCLEOSIDE-DIP-KIN-RXN|', 'R00331', '44641', '|CDPKIN-RXN|', '44640', '18113']
CMPK2_CMPK1_2	['24038', '24037', '|RXN-11832|', '|NUCLEOSIDE-PHOSPHATE-KINASE-RXN|', '11601', 'R00334', '24036', '24039', 'R00512', '11602', '11600', '11603']
CTPS2_GATM_CTPS1	['16600', '16598', '16599', '|RXN-14325|', 'R00571', '16597']
RRM2B_TXN_RRM1_RRM2_2	[]
